Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
CWNU_2712,o,174.6167158896077,-60.69719280204642,0.524,0.04,1.0,0,8.45,8.61,8.72,-0.49,-0.33,-0.17,0.93,1.02,1.13,10.79,10.98,11.15,0.6416746907389479,-1.4330987250711102,0.0651616756637864,7.616
Terzan_7,g,289.43206087767584,-34.65728556284983,0.003,0.09,0.78,0,9.98,10.09,10.19,-0.33,-0.13,0.03,0.13,0.26,0.37,14.63,14.94,15.25,9.112507967407437,0.5398095700084617,-3.319204324976202,1.128
HSC_272,o,280.10258088151954,-5.1249547837283655,0.259,0.072,0.04,1,7.18,7.38,7.57,-1.09,-0.82,-0.53,4.62,4.83,5.05,11.41,11.89,12.34,2.1253987158919667,1.088317710435414,0.0407072769509946,6.095
HSC_1430,o,93.39531383945008,31.8272479483482,1.648,0.051,0.99,0,8.08,8.18,8.27,0.06,0.16,0.27,0.51,0.57,0.63,8.83,8.95,9.06,-0.6121902759862294,-0.0050664836291819,0.1147722784998376,8.734
King_6,o,51.96906220961782,56.46092579498386,1.377,0.045,1.0,0,8.16,8.25,8.33,0.22,0.31,0.41,1.78,1.84,1.89,9.31,9.42,9.54,-0.6140412694781556,0.4572292451563298,0.0420381277704598,8.748
FSR_1478,o,134.9248362948786,-52.71532023000523,0.462,0.034,0.31,0,8.64,8.77,8.86,0.12,0.29,0.45,1.39,1.52,1.65,11.18,11.38,11.62,0.0634796712049539,-1.881364895399877,-0.1031452129550495,8.275
OC_0401,o,104.9266094304768,-23.54703469729409,1.181,0.04,0.98,0,6.63,6.78,6.9,-0.47,-0.33,-0.19,0.4,0.52,0.61,9.62,9.83,10.07,-0.5250431721350939,-0.7481966623437126,-0.0982934099809546,8.679
HSC_1561,o,95.68927588459674,14.473234998325536,1.019,0.032,0.83,0,7.92,8.05,8.16,-0.57,-0.45,-0.28,0.9,0.98,1.05,9.8,9.96,10.12,-0.9396920609505964,-0.2840462529514124,0.0502904774571868,9.066
HSC_2234,o,144.85869691255024,-52.02867810366066,0.98,0.028,0.87,0,9.26,9.37,9.49,-0.42,-0.26,-0.11,1.01,1.13,1.23,9.82,10.0,10.2,0.0997458052478954,-0.9949931990001224,0.0482798805936007,8.084
Theia_3152,o,111.51212498562536,-20.98698499372667,0.293,0.042,1.0,0,8.12,8.27,8.39,-0.24,-0.1,0.06,0.83,0.9,0.98,12.18,12.38,12.53,-1.6957140405225974,-2.462915098935738,-0.0686743674419596,10.122
Gulliver_39,o,163.73014933170964,-58.05421376309678,0.37,0.04,0.98,0,8.87,8.92,8.98,0.16,0.3,0.41,1.43,1.49,1.56,11.78,11.91,12.05,0.7447225231092114,-2.291250509785033,0.0985500586886176,7.725
OC_0476,o,128.60286596349184,-43.83379440684908,0.318,0.053,0.05,0,8.49,8.58,8.65,-0.09,0.04,0.17,4.73,4.81,4.89,11.97,12.21,12.42,-0.367118786063779,-2.74060302886192,-0.0597180532848662,8.921
UBC_276,o,172.8607218945559,-60.75169792032712,0.205,0.036,0.99,0,8.85,8.93,9.01,-0.32,-0.16,-0.01,1.25,1.35,1.44,12.37,12.54,12.73,1.2747407023293835,-2.957938515526332,0.0730315166252199,7.459
HSC_2086,o,131.3363760831907,-39.288098792446384,1.723,0.046,0.62,0,7.16,7.31,7.43,-0.26,-0.1,0.08,0.49,0.62,0.74,8.79,9.03,9.25,-0.1106830454315694,-0.6295591033820342,0.0672780448254649,8.257
ASCC_107,o,297.1351555593552,21.97556362071564,1.125,0.035,1.0,0,7.24,7.32,7.42,0.09,0.22,0.38,1.48,1.56,1.64,9.74,9.92,10.1,0.4978186007893503,0.8246713875889504,0.0086356715481283,7.669
HSC_135,o,271.77484994066754,-19.76515555056924,0.743,0.048,0.74,0,8.54,8.66,8.78,-0.42,-0.24,-0.06,1.12,1.25,1.38,10.03,10.29,10.54,1.1241810948868922,0.2059692930143576,0.046528109185092,7.001
UBC_1117,o,311.48771210574444,46.75517322921458,0.353,0.033,0.99,0,7.32,7.42,7.51,0.36,0.53,0.68,2.15,2.23,2.31,12.36,12.57,12.81,0.2319724317000115,3.255033384046823,0.1716770076372052,8.535
FSR_1298,o,118.3870469388412,-22.471709688370364,0.27,0.068,0.7,0,8.34,8.49,8.7,-0.34,-0.16,0.05,0.7,0.82,0.93,12.13,12.39,12.67,-1.5057271003970776,-2.5979047775834725,0.1833434144838874,9.972
HSC_726,o,318.21558595128835,50.59305037971552,0.304,0.043,0.81,0,7.37,7.5,7.61,0.08,0.26,0.45,4.35,4.45,4.56,11.79,12.06,12.35,-0.0781707890879737,2.5802381296310344,0.1073575058520979,8.597
HSC_1921,o,113.0398990598166,-26.032002546619765,1.81,0.037,0.89,0,7.33,7.49,7.6,-0.16,0.01,0.15,0.37,0.48,0.58,8.58,8.78,8.99,-0.2797711836324676,-0.4957065099760075,0.008804654760356,8.416
UFMG_44,o,235.63052026025105,-55.46250437674506,0.579,0.041,0.09,0,8.09,8.22,8.34,0.03,0.2,0.36,3.59,3.7,3.81,10.42,10.67,10.88,1.1230092381233288,-0.7696375321576725,0.0316118534869673,7.041
CWNU_1355,o,96.05442942542447,21.056853251035985,0.612,0.054,1.0,0,8.4,8.51,8.63,0.16,0.34,0.49,0.89,0.97,1.06,11.26,11.49,11.66,-1.9440293767069328,-0.3834326041647641,0.1765025074858534,10.073
UBC_1145,o,328.1848597994416,51.56707487021196,0.329,0.043,0.98,0,8.59,8.66,8.73,0.01,0.16,0.31,1.63,1.7,1.77,11.63,11.8,11.97,-0.2791436504875619,2.27230644820122,-0.0406311394078322,8.703
Gulliver_58,o,191.5037668764476,-61.96907238448269,0.415,0.052,0.5,0,8.54,8.61,8.67,0.03,0.15,0.27,3.75,3.82,3.89,11.26,11.43,11.6,1.0321758723960714,-1.6329144639554425,0.0691659352872982,7.275
OCSN_69,o,93.4540100493562,-4.522928300178647,2.833,0.061,0.96,0,7.15,7.25,7.35,-0.19,-0.07,0.06,0.32,0.42,0.51,7.66,7.81,8.01,-0.3020429582337094,-0.1937644147668998,-0.0236284821952472,8.426
OCSN_61,o,84.13266206469031,-0.7465074872513088,2.596,0.063,0.99,0,6.78,6.87,6.96,-0.24,-0.13,-0.03,0.49,0.57,0.66,7.82,7.96,8.12,-0.3395504408862475,-0.1569954943610363,-0.0715213104101133,8.463
HSC_763,o,323.90978357233723,55.89302096009362,0.974,0.034,0.8,0,7.4,7.51,7.61,-0.33,-0.16,-0.01,1.85,1.94,2.03,9.81,10.0,10.18,-0.1368181206705863,0.9893214850331884,0.0917648522807141,8.318
HSC_2550,o,195.08920551542312,-62.404777718896256,0.514,0.027,0.93,0,7.45,7.57,7.7,-0.53,-0.37,-0.17,2.41,2.49,2.55,10.92,11.15,11.37,0.9488031628088054,-1.4084517104902063,0.0524802800176002,7.31
CWNU_2765,o,261.16380972733634,-38.58347771368295,0.354,0.064,0.07,0,8.21,8.33,8.46,-0.21,-0.04,0.15,4.15,4.25,4.36,11.2,11.47,11.77,1.9343108151579536,-0.3573563895118156,-0.0168599533034086,6.198
HSC_694,o,320.0648894110517,44.43196602852556,0.25,0.043,0.97,0,9.46,9.53,9.63,0.04,0.21,0.35,1.04,1.11,1.2,12.44,12.63,12.83,0.1055903558102162,3.3485802860061757,-0.1771256970217992,8.688
CWNU_2264,o,173.72946194122687,-62.35886275409136,0.425,0.033,0.99,0,8.26,8.43,8.57,-0.32,-0.05,0.14,1.11,1.23,1.35,11.32,11.55,11.83,0.8363735659398381,-1.8623351501424537,0.0111790782932349,7.52
FSR_0974,o,98.16403234441118,12.57020037247955,0.299,0.067,0.98,0,8.12,8.23,8.31,-0.32,-0.15,0.04,1.91,1.98,2.05,12.2,12.39,12.57,-2.830134828763308,-1.009084967498805,0.1334061053125678,10.999
HSC_2502,o,184.6611044232785,-62.61788704397627,0.16,0.054,0.02,2,7.86,8.07,8.27,0.0,0.26,0.48,2.32,2.48,2.65,13.47,13.89,14.35,2.9235464362101027,-5.23716807141601,0.0355939459487674,7.379
HSC_958,m,44.62396552090867,62.340737942866895,5.599,0.05,0.98,0,7.57,7.68,7.76,-0.04,0.05,0.15,0.57,0.64,0.72,6.14,6.27,6.38,-0.1312317781521095,0.1220093903816795,0.0513788467079749,8.254
FSR_0850,o,86.27352445894503,24.76133806781769,0.446,0.064,0.91,0,8.67,8.73,8.78,-0.02,0.08,0.2,1.66,1.72,1.77,11.44,11.58,11.71,-2.0648211063221997,-0.1263826823409133,-0.035318342221293,10.188
Theia_711,o,281.9921256366699,-7.399892207885619,2.299,0.053,0.72,1,7.39,7.48,7.58,-0.18,-0.03,0.08,1.34,1.43,1.52,8.11,8.27,8.46,0.4049271517005133,0.1970520435625985,0.0201113078982385,7.72
HSC_63,o,268.49954482638253,-24.384382810445224,0.293,0.067,0.15,2,7.7,7.94,8.18,-0.98,-0.69,-0.37,4.68,4.91,5.12,12.63,13.24,13.88,4.430079021749757,0.3771766386400763,0.0870975284151184,3.711
Berkeley_52,o,303.6277602085612,28.94146839476249,0.145,0.073,0.77,0,9.32,9.4,9.5,-0.02,0.18,0.34,4.04,4.16,4.28,13.1,13.34,13.57,1.748637618150374,4.307002736750685,-0.22132223089732,7.692
NGC_7006,g,315.37150254257114,16.189215591915048,0.005,0.076,0.31,0,9.77,9.87,9.99,-0.31,-0.14,0.02,0.61,0.76,0.88,14.5,14.77,15.07,3.7420268304736384,7.610405432860654,-2.956525013070522,8.781
UBC_47,o,41.98079909949734,63.800616748632486,0.639,0.048,0.98,0,8.14,8.24,8.34,0.51,0.65,0.77,2.67,2.75,2.84,11.04,11.23,11.41,-1.2507987092808437,1.2352194101816714,0.1608835183548461,9.454
ESO_130-06,o,181.93555415469987,-59.30335759462419,1.233,0.036,0.99,0,8.47,8.56,8.64,0.25,0.35,0.45,0.16,0.22,0.28,9.29,9.42,9.55,0.3516150530784889,-0.6788871685574546,0.0820470068850793,7.8
