Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
OC_0280,o,60.830198515445176,32.62881392663642,2.703,0.057,0.98,0,6.82,6.94,7.04,0.06,0.17,0.3,1.16,1.26,1.35,7.68,7.83,8.01,-0.3409941204604276,0.1025145511986408,-0.0517517709435615,8.464
CWNU_1352,o,326.7969651474453,54.164823821413954,0.593,0.033,0.92,0,8.37,8.46,8.58,0.32,0.46,0.6,2.28,2.38,2.47,10.93,11.14,11.32,-0.2350855148728285,1.673949560320689,0.0559419101597487,8.523
UBC_448,o,113.50676519136384,-8.080780697041758,0.296,0.054,1.0,0,8.53,8.67,8.81,-0.74,-0.57,-0.39,0.78,0.87,0.97,11.98,12.19,12.43,-1.927474238090316,-1.9300377104472013,0.317142673639321,10.233
HSC_1226,o,72.75087484367396,51.494139055558776,1.325,0.032,0.96,0,8.18,8.33,8.51,0.38,0.58,0.8,1.08,1.21,1.34,9.12,9.35,9.61,-0.6729999447041912,0.3048826439862999,0.1017886349396778,8.8
CWNU_267,o,254.3489233524293,-48.47198857551439,0.548,0.056,0.91,0,8.45,8.59,8.69,0.01,0.17,0.38,1.86,1.96,2.08,10.81,10.99,11.23,1.466383103551772,-0.5736355400353855,-0.0563708596251835,6.68
Theia_3862,o,32.231804162168416,58.10209809549013,1.066,0.037,1.0,0,8.01,8.12,8.22,0.05,0.18,0.3,1.27,1.34,1.4,9.75,9.91,10.09,-0.6538979696633511,0.7000501174504693,-0.010954901716536,8.804
HSC_896,o,352.3952315274628,58.17605839804069,0.469,0.041,0.97,0,8.78,8.87,8.97,-0.48,-0.29,-0.07,2.28,2.41,2.53,10.82,11.04,11.3,-0.6117559534996904,1.491651329753652,-0.0411763627183437,8.86
Berkeley_64,o,35.44254700611848,65.89739893081486,0.166,0.063,0.96,0,8.44,8.52,8.59,-0.37,-0.27,-0.16,3.45,3.52,3.58,13.66,13.83,13.99,-3.888856816266564,4.322789664827823,0.5221143025466517,12.765
HSC_2765,o,248.0081644464972,-47.4444382135657,4.32,0.056,0.96,0,7.62,7.79,7.96,0.23,0.35,0.47,0.64,0.75,0.87,6.59,6.76,6.97,0.206500316013515,-0.0891595785187585,0.0428862130257203,7.916
HSC_1652,o,101.43474119052624,2.9875551030621943,0.219,0.066,0.98,1,8.29,8.41,8.55,-0.17,0.01,0.2,2.11,2.29,2.44,13.34,13.62,13.88,-4.604246305963798,-2.6181257180705435,0.0622106607856069,12.993
HSC_1962,o,123.9892110785507,-24.07917803677547,0.186,0.051,0.8,0,9.16,9.26,9.36,-1.13,-0.98,-0.8,0.8,0.94,1.07,11.9,12.13,12.39,-1.1613888202406706,-2.3833432553043146,0.3295656348659385,9.584
OC_0037,o,278.08885296086794,-10.593463871987966,0.489,0.063,0.81,0,7.83,7.93,8.04,0.78,0.93,1.05,4.3,4.4,4.48,11.27,11.47,11.68,1.83278946782312,0.7161394912817871,0.0151222215586199,6.33
DBSB_21,o,130.63794123029976,-40.712467926096274,0.621,0.053,0.02,3,7.39,7.57,7.76,0.09,0.24,0.43,3.04,3.18,3.35,11.22,11.58,11.95,-0.3305246220649227,-2.043263422286146,0.0775952540851268,8.696
CWNU_1270,o,343.67868110559453,51.21431873459744,2.108,0.043,1.0,0,7.04,7.18,7.35,-0.73,-0.54,-0.37,0.61,0.71,0.82,8.36,8.57,8.78,-0.1328504091095439,0.4956687711299056,-0.0260239103826327,8.27
HSC_1378,o,89.14564577984189,34.41187010345984,0.932,0.053,1.0,0,7.72,7.82,7.93,0.07,0.22,0.37,1.25,1.33,1.41,10.16,10.31,10.48,-1.146959884800287,0.0706891816645507,0.1409950881313526,9.269
Theia_2249,o,94.38254097676575,14.641981145203872,0.427,0.047,1.0,0,8.39,8.49,8.59,0.48,0.6,0.74,0.73,0.79,0.87,11.53,11.71,11.9,-2.111838538957292,-0.6084435828995727,0.0213535535788353,10.252
Mamajek_1,o,131.04096000296238,-79.04458477162683,10.178,0.028,1.0,0,6.95,7.17,7.46,-0.12,0.06,0.22,0.9,1.08,1.22,4.66,4.89,5.15,0.0338418697368094,-0.08163668962344,0.0065503856177847,8.089
CWNU_336,o,308.4000698371524,47.10416042020776,0.673,0.041,0.89,0,8.83,8.91,9.0,0.11,0.33,0.52,1.02,1.12,1.22,10.79,10.98,11.18,0.1389304804414495,1.560042504784722,0.1556720908423535,8.134
FSR_0320,o,323.8427581203417,53.64579671240797,0.455,0.028,1.0,0,8.14,8.23,8.35,0.01,0.2,0.36,1.64,1.7,1.78,11.2,11.4,11.59,-0.2103326195007877,1.893369399118941,0.0826103730663712,8.545
SAI_132,o,299.2395813405016,31.602766667881625,0.267,0.049,0.91,0,8.88,8.95,9.02,-0.37,-0.23,-0.09,2.91,2.99,3.08,12.15,12.38,12.55,1.1155861994978444,2.7755931281518773,0.1141072272632737,7.536
HSC_2294,o,147.13630151722447,-58.671937873653285,0.21,0.041,0.57,0,8.75,8.82,8.91,0.31,0.46,0.57,1.7,1.79,1.88,12.42,12.64,12.82,0.6430867545016801,-3.303296007265274,-0.1841920013700322,8.176
Theia_863,o,41.12127419968799,56.51355603607298,1.39,0.044,0.99,0,8.06,8.19,8.32,0.08,0.22,0.35,1.53,1.61,1.7,9.23,9.37,9.52,-0.5561593518396428,0.4989972417951307,0.0039635353999859,8.692
FoF_2210,o,247.17340320501128,-54.98821814361041,0.711,0.043,1.0,0,8.44,8.5,8.58,0.12,0.23,0.35,0.96,1.01,1.07,10.6,10.73,10.86,1.217916712250917,-0.6809732502289136,-0.0673213614436543,6.938
CWWL_2084,o,115.75332004341188,-21.134269346916128,0.282,0.043,1.0,0,7.43,7.51,7.6,-0.37,-0.24,-0.11,1.0,1.07,1.13,12.01,12.19,12.34,-1.4722661405941828,-2.3118989997161816,0.1024764447980436,9.869
Steine_20,o,306.69773729519017,44.08827716675373,0.406,0.047,0.99,0,8.15,8.23,8.33,0.3,0.46,0.61,3.94,4.02,4.09,11.11,11.29,11.51,0.2590113484094267,1.789591449021771,0.1476296862122515,8.064
ESO_371-25,o,133.24758400726654,-35.472958610454675,0.157,0.063,0.98,0,9.41,9.49,9.58,-0.24,-0.12,0.03,1.18,1.26,1.36,13.16,13.35,13.55,-0.9656823190686268,-4.551365869557602,0.5212782037168242,10.164
CWNU_1321,o,120.5542167689255,-31.33769393398101,0.155,0.047,0.91,0,8.67,8.86,9.03,-0.32,-0.11,0.06,1.14,1.31,1.48,12.75,13.12,13.53,-1.5439847783671097,-3.9136486912664186,0.0198683783252517,10.428
HXHWL_29,o,268.1353899740371,-26.938277906168825,1.644,0.05,1.0,0,7.78,7.9,8.0,-0.66,-0.53,-0.38,1.22,1.31,1.41,8.58,8.72,8.87,0.5541090936839863,0.0241895430533062,0.0374557007879497,7.568
UBC_1322,o,101.50442408152956,12.003623710441923,0.188,0.063,0.97,0,7.71,7.87,8.01,0.15,0.34,0.56,1.03,1.12,1.21,13.39,13.66,13.98,-5.000705380411789,-1.982165458165328,0.4549649699508779,13.272
CWNU_326,o,298.5280664026285,29.111976774844788,0.463,0.039,1.0,0,8.62,8.69,8.77,0.56,0.69,0.81,1.3,1.39,1.47,11.42,11.61,11.78,0.8651713354438701,1.9122133730203312,0.0642560468689293,7.505
CWNU_1638,o,233.4433314745792,-59.6372294978815,0.485,0.027,0.99,0,8.4,8.55,8.68,0.05,0.24,0.44,1.35,1.49,1.61,11.37,11.6,11.84,1.6474389596888397,-1.2800593500740831,-0.0708233581383566,6.6
IRAS_20306+4005,o,308.0611176957635,40.297301859212304,1.026,0.061,0.25,3,6.49,6.7,6.92,-0.29,-0.05,0.18,2.65,2.86,3.05,10.16,10.52,10.96,0.2361007953500769,1.2484311927203042,0.0484632466485865,7.984
UBC_1565,o,259.79510150734586,-38.73558246257599,0.356,0.068,0.14,1,7.94,8.1,8.23,-0.61,-0.44,-0.28,4.65,4.8,4.91,11.51,11.86,12.26,2.309940002216446,-0.4573430019358967,0.0042537963198245,5.83
CWNU_1536,o,212.38680947508743,-61.706736798917255,0.269,0.046,0.07,0,6.87,7.03,7.16,-0.15,0.12,0.36,3.59,3.7,3.8,12.27,12.56,12.89,2.177246017174532,-2.414032698320372,0.023242969379068,6.416
HSC_1292,o,78.30420825622588,41.96458382247465,0.897,0.038,1.0,0,7.44,7.52,7.6,-0.29,-0.1,0.08,0.92,1.0,1.1,10.1,10.31,10.55,-1.1161531558905935,0.2884488692752885,0.0789409253327636,9.243
HSC_1517,o,82.26385859444618,12.956975090506765,0.673,0.044,0.29,0,8.52,8.66,8.79,0.08,0.3,0.53,2.11,2.24,2.38,10.65,10.93,11.15,-1.4726704871106833,-0.3027032429885989,-0.2659438512029166,9.599
HSC_877,o,348.17273700207653,61.15495476040925,0.935,0.032,0.65,0,8.44,8.56,8.66,0.2,0.41,0.63,1.59,1.72,1.83,10.12,10.34,10.59,-0.424880043138474,1.0895138567626486,0.0535455994031308,8.616
FSR_0874,o,85.38100439839438,20.18455147888994,0.652,0.048,0.84,1,7.36,7.57,7.76,-0.35,-0.17,-0.0,1.67,1.81,1.92,10.76,11.03,11.3,-1.5883742839700652,-0.1945439082474762,-0.1046716055110183,9.712
HSC_1844,o,110.28586806094872,-19.45444506512171,0.602,0.029,1.0,0,8.3,8.45,8.54,0.35,0.5,0.66,0.4,0.5,0.59,10.83,11.04,11.23,-0.958116066280036,-1.297514503824175,-0.0260182556654627,9.172
Mamajek_4,o,274.52704150180875,-52.30206855350732,2.221,0.047,0.99,0,8.42,8.53,8.62,0.41,0.48,0.57,0.32,0.39,0.44,8.17,8.29,8.43,0.4149293546107149,-0.134692111350097,-0.0877363922007258,7.708
Theia_2924,o,14.879739423575735,60.88236166014135,0.36,0.038,0.98,0,7.86,8.0,8.13,0.37,0.57,0.74,1.23,1.31,1.4,12.09,12.31,12.53,-1.6158883745119113,2.4029705894706024,-0.054060320898953,10.03
Theia_4401,o,346.99030275934723,56.732194632209264,0.689,0.037,0.97,0,8.19,8.32,8.41,0.01,0.15,0.27,1.28,1.36,1.42,10.59,10.74,10.89,-0.4585686927052528,1.326722766377264,-0.0388155937887366,8.683
HSC_1389,o,82.41820092341759,30.053763871726066,0.234,0.084,0.12,0,9.21,9.32,9.41,0.03,0.22,0.39,1.87,1.97,2.06,12.04,12.29,12.49,-2.8652348752216774,0.1402913475975978,-0.067834786027226,10.988
HSC_1303,m,83.93454569608468,43.36059575235494,0.784,0.049,0.94,0,8.35,8.44,8.53,0.07,0.24,0.42,1.05,1.14,1.23,10.42,10.6,10.76,-1.27554253380268,0.3021798970780466,0.1809249332117556,9.402
FSR_1758,g,262.8113915347314,-39.818343774594176,0.082,0.094,0.1,1,9.57,9.65,9.74,-0.85,-0.67,-0.52,2.71,2.81,2.95,13.04,13.3,13.53,4.481981413048915,-0.8540578374136685,-0.2334052296902718,3.739
FSR_1185,o,104.72980531929625,-11.76933835181937,0.907,0.062,0.87,1,6.83,7.03,7.3,-0.19,0.03,0.25,0.41,0.58,0.74,9.91,10.3,10.69,-0.820660125092262,-0.7997126763402294,-0.0304389999134714,8.978
OCSN_41,o,1.2232901833880352,54.43269420883136,2.47,0.044,1.0,0,6.66,6.81,6.94,-0.16,-0.04,0.08,0.55,0.66,0.79,7.84,8.02,8.22,-0.1754238423780094,0.3573665247026741,-0.0126416176586405,8.305
FSR_1202,o,106.973537866205,-12.823155465124422,0.339,0.05,1.0,0,8.43,8.57,8.69,0.34,0.5,0.64,1.34,1.42,1.51,12.14,12.34,12.55,-2.0317963764015694,-2.1188567669569967,-0.0676095860715901,10.373
UBC_1362,o,106.43092019066135,-12.295177376141782,0.443,0.041,1.0,0,8.55,8.72,8.86,-1.31,-1.11,-0.88,1.0,1.15,1.29,10.43,10.73,11.01,-0.9803312916875964,-0.9972098801228878,-0.0159800857292696,9.157
Theia_3118,o,239.77260689248416,-55.81627365460272,0.33,0.048,0.41,0,7.98,8.17,8.33,-0.36,-0.12,0.09,2.17,2.31,2.47,11.26,11.55,11.93,1.7144548237875377,-1.1061103471608331,-0.0355344037999597,6.502
Melotte_72,o,114.62183641365829,-10.699925420666386,0.375,0.046,1.0,0,9.04,9.08,9.13,-0.01,0.11,0.22,0.35,0.4,0.45,11.79,11.92,12.05,-1.616442563971173,-1.7874991061758685,0.2723724484564283,9.901
HSC_1770,o,106.39632481302225,-11.836607861313324,0.344,0.056,1.0,0,8.13,8.24,8.36,-0.15,-0.01,0.12,1.2,1.28,1.37,11.75,11.93,12.1,-1.7166072062470583,-1.720536763074367,-0.0508004740401722,9.988
UPK_220,o,350.9316170773762,66.50347127490895,1.03,0.035,0.18,0,7.82,7.93,8.01,0.51,0.63,0.75,2.9,2.96,3.03,10.01,10.17,10.31,-0.4435844794351844,0.9814386983426828,0.1389994484614428,8.622
FSR_1284,o,109.98879358618856,-24.520561584653308,0.393,0.037,1.0,0,8.6,8.69,8.76,0.55,0.7,0.88,1.03,1.12,1.2,12.19,12.37,12.59,-1.5760591495931455,-2.513911891968182,-0.2187088990826836,10.019
HXHWL_53,o,81.9662860267057,32.6672892202237,0.624,0.045,0.98,0,8.1,8.25,8.37,-0.51,-0.38,-0.23,0.79,0.87,0.95,10.56,10.78,10.99,-1.4260334267341168,0.1296592604690636,0.0150790926249141,9.549
CWNU_1971,o,89.75909630907255,23.478120487994936,0.372,0.062,1.0,0,7.93,8.02,8.13,0.02,0.19,0.36,2.71,2.78,2.84,11.91,12.12,12.32,-2.638907487472313,-0.2880151267486805,0.0394367593662238,10.765
UBC_54,o,64.71434213761583,46.452736606143446,0.908,0.054,1.0,0,8.5,8.57,8.63,0.21,0.32,0.42,1.08,1.14,1.21,10.18,10.3,10.4,-1.0460072303262535,0.4704188309146407,-0.0110879209672785,9.18
HSC_950,o,5.149272631541973,66.44253182978265,1.259,0.054,0.95,1,7.62,7.85,8.09,0.1,0.29,0.48,2.47,2.6,2.74,9.87,10.17,10.45,-0.5369229468741477,0.9359330549294402,0.1138070317955963,8.709
HSC_531,o,299.814791157489,29.291278822129897,0.385,0.045,0.94,0,7.28,7.37,7.46,0.62,0.76,0.91,2.41,2.48,2.53,12.06,12.26,12.45,1.1337526734461694,2.594474545632653,0.029445447543136,7.454
UPK_607,o,224.9318297679588,-57.17812137504407,1.091,0.061,0.91,2,6.95,7.16,7.39,-0.22,-0.02,0.17,1.16,1.31,1.45,10.1,10.4,10.75,0.916249593974852,-0.7779254172624093,0.0700130834977073,7.248
Theia_291,o,287.17988322326835,-8.370581558057687,0.922,0.046,1.0,0,7.64,7.71,7.78,-0.07,0.06,0.2,1.27,1.32,1.38,9.97,10.11,10.23,0.9253668510737576,0.4798042055945124,-0.1003760216058966,7.213
NGC_6231,o,253.560206466136,-41.827526845684446,0.607,0.044,0.98,0,6.88,6.96,7.04,-0.05,0.05,0.18,1.4,1.48,1.56,10.38,10.58,10.76,1.252023904585852,-0.3715275093487065,0.0651060192208524,6.88
HSC_475,o,282.00027709377275,28.390589942493623,2.112,0.038,0.9,0,7.15,7.44,7.68,0.15,0.34,0.58,0.11,0.26,0.39,8.3,8.56,8.9,0.2638685499838136,0.4267783941683714,0.1586820301074215,7.87
FSR_1360,o,120.40407416061674,-34.474991646693134,0.404,0.041,0.94,0,8.06,8.15,8.23,0.2,0.37,0.52,1.43,1.49,1.56,11.86,12.04,12.19,-0.8298337694312306,-2.4185029209640305,-0.0507962822906695,9.273
CWNU_7,o,240.06151403710223,-59.107358105206,0.759,0.044,0.92,0,9.23,9.34,9.42,0.29,0.44,0.56,0.1,0.18,0.25,10.4,10.57,10.74,1.0631158323171324,-0.7407133795016538,-0.0662238249734631,7.098
HSC_2771,o,240.88618368428388,-45.6512841289216,1.857,0.035,0.99,0,9.01,9.13,9.23,0.14,0.24,0.35,0.67,0.75,0.85,8.49,8.64,8.8,0.4802221087892464,-0.2301605205475224,0.0884774465309677,7.645
Theia_1797,o,99.04495914713858,10.02818857987891,0.867,0.044,0.97,0,6.9,7.0,7.09,-0.18,-0.05,0.09,1.22,1.29,1.36,10.18,10.39,10.58,-1.1070750281892483,-0.4535693992517909,0.0696821862488357,9.24
Alessi_191,o,282.1085682446451,22.0062780467816,0.987,0.029,0.48,0,8.34,8.59,8.86,-0.43,-0.06,0.29,0.73,0.96,1.26,9.61,10.11,10.63,0.6314970506151836,0.8197307167918091,0.2311005243028152,7.535
HSC_2013,o,148.8458483420398,-14.531922122799404,4.182,0.059,0.91,0,7.91,8.05,8.17,0.16,0.26,0.35,0.3,0.38,0.47,6.8,6.95,7.09,-0.0660674332123107,-0.2011683613068544,0.1657725545845444,8.191
OC_0160,o,322.4351042780584,58.69037940177561,1.06,0.05,0.45,1,6.4,6.55,6.68,-0.3,-0.11,0.06,1.85,1.97,2.11,9.85,10.13,10.43,-0.1687986864094028,1.0432883211399526,0.142817322521629,8.356
NGC_6603,o,274.6152763305579,-18.410491563976787,0.327,0.058,0.86,1,8.1,8.32,8.52,-1.49,-1.25,-0.98,3.19,3.37,3.54,10.65,11.12,11.47,1.6324271197488684,0.3726790946041779,-0.0009744538931106,6.5
HSC_943,o,2.0780794272874905,64.55649152866178,0.312,0.047,0.65,0,8.17,8.29,8.4,-0.05,0.11,0.26,2.13,2.25,2.34,12.32,12.56,12.79,-1.5408217322854014,2.8599313780215097,0.1630657056006938,10.077
UBC_607,o,47.72677674303991,50.29401872435026,0.211,0.074,0.55,0,9.29,9.38,9.46,-0.75,-0.61,-0.46,1.95,2.07,2.2,12.92,13.16,13.38,-3.4668875173738343,2.471596799855561,-0.4453280853258293,11.85
HSC_1600,o,100.5026859246551,11.582140914531973,0.188,0.061,0.97,0,7.49,7.61,7.73,-0.47,-0.3,-0.11,1.66,1.74,1.81,12.5,12.71,12.93,-3.2343311538039394,-1.2774576733904284,0.2438871686707573,11.428
Collinder_132,o,108.54917647658256,-30.82188545015497,1.529,0.041,1.0,0,6.8,6.91,7.01,-0.39,-0.29,-0.19,0.4,0.46,0.54,8.98,9.14,9.31,-0.3018839675390623,-0.592135730189326,-0.0638649026403736,8.445
HSC_2640,o,212.93752585780413,-61.70771674334839,0.21,0.068,0.97,0,8.8,8.9,8.99,0.02,0.16,0.31,4.32,4.47,4.61,13.12,13.42,13.75,3.250728993234889,-3.573003872468377,0.0075688230349921,6.041
HSC_1914,o,113.01271627864382,-24.71920818574601,0.121,0.047,0.42,2,8.15,8.37,8.57,-0.55,-0.32,-0.07,2.08,2.28,2.5,12.75,13.18,13.61,-2.1996137091544323,-3.718509679891783,-0.1611055142678881,10.971
UBC_1282,o,79.35646144133774,33.20627862008913,0.34,0.05,1.0,0,8.57,8.72,8.84,-0.39,-0.19,0.02,1.11,1.27,1.4,11.63,11.9,12.2,-2.3791544977029293,0.2870456365801729,-0.0656442027457115,10.505
ASCC_33,o,104.69624410192458,-24.008838614910573,2.358,0.052,0.99,0,7.8,7.95,8.12,0.02,0.13,0.24,0.36,0.44,0.53,8.01,8.19,8.34,-0.2444266900279501,-0.3525996859138262,-0.0270670869818967,8.374
FSR_0154,o,297.0222254150713,23.3643855467562,0.233,0.055,0.94,0,8.11,8.22,8.32,-0.15,-0.01,0.15,4.55,4.64,4.75,12.76,13.02,13.3,2.0068394573025987,3.47988559825316,-0.0401562417953694,7.036
FSR_0771,o,75.92667193959213,32.13287561322651,0.61,0.055,0.99,0,8.51,8.57,8.63,0.21,0.31,0.45,2.03,2.11,2.18,10.74,10.9,11.03,-1.4928516062166803,0.2023188996824796,-0.1041713135419547,9.617
Theia_242,o,283.1821655241132,16.976660649002927,2.48,0.046,0.5,0,7.69,7.83,7.96,-0.24,-0.1,0.05,0.6,0.68,0.77,7.95,8.11,8.28,0.276619110166191,0.3099534008352468,0.0946428275588886,7.852
FSR_0460,o,353.6651135238769,60.69833711459984,0.149,0.066,0.87,0,8.96,9.06,9.15,-0.35,-0.22,-0.08,3.03,3.16,3.28,13.23,13.49,13.72,-2.0029439734404626,4.568662757403988,-0.0216656158841575,11.108
Theia_4725,o,301.53249917141005,36.28084458809381,0.319,0.036,0.54,0,7.67,7.78,7.89,-0.11,0.09,0.26,2.35,2.43,2.51,12.14,12.37,12.61,0.8661697858263935,2.8473842968547496,0.158898025290146,7.795
Ruprecht_145,o,282.6559197754738,-18.27843999366601,1.655,0.041,0.99,0,8.83,8.89,8.97,0.23,0.33,0.42,0.7,0.79,0.87,8.75,8.88,8.99,0.5667240801978446,0.1675502198834575,-0.0434415285462187,7.557
HSC_1720,o,106.15418623005606,-3.873196564621293,0.508,0.052,0.98,0,8.72,8.89,9.05,-0.16,0.0,0.19,0.0,0.09,0.2,10.83,11.03,11.28,-1.2679553153992682,-0.986510805138914,0.07735469600691,9.442
HSC_2263,o,152.54125807325116,-47.9977757903444,3.595,0.037,0.92,0,7.57,7.67,7.79,-0.02,0.08,0.18,0.27,0.35,0.44,7.12,7.31,7.44,0.0356408118262994,-0.2856030470943541,0.0748945712002019,8.091
NGC_1708,o,75.87461951760903,52.82889104522358,1.043,0.047,1.0,0,8.22,8.33,8.42,0.4,0.51,0.61,1.41,1.48,1.54,9.87,10.01,10.14,-0.9092423024792352,0.4093210454638891,0.1638258941196892,9.041
SAI_109,o,145.90343402426086,-50.803279428135816,0.133,0.056,0.85,0,8.89,8.98,9.06,-0.17,-0.05,0.06,1.93,2.04,2.14,13.68,13.88,14.09,0.5631128044536142,-5.940988384411735,0.2224433670761991,9.614
UBC_241,o,127.07795398365676,-31.00486954195028,0.198,0.043,0.99,0,8.66,8.76,8.85,-0.73,-0.52,-0.34,0.65,0.74,0.84,12.15,12.39,12.59,-0.9603950948616262,-2.838641841020097,0.2786597785336375,9.516
HSC_1922,o,111.3849377866087,-26.77321899794463,1.055,0.033,1.0,0,8.17,8.36,8.52,0.25,0.4,0.54,0.02,0.1,0.19,9.67,9.84,10.01,-0.4556537871330093,-0.805542525034461,-0.0386193370427385,8.615
HSC_2910,o,261.9568647866936,-35.710864191819375,0.724,0.062,0.21,1,6.62,6.78,6.97,-0.45,-0.17,0.12,2.76,2.97,3.16,10.36,10.75,11.16,1.3996432203097235,-0.1900004104770238,0.0262517111112185,6.725
CWNU_1416,o,351.2148456679716,62.718905761719,0.304,0.047,0.18,1,7.64,7.81,7.96,0.82,1.03,1.21,2.6,2.71,2.82,12.44,12.73,13.05,-1.3839307518948765,3.2303337400648324,0.1368901705812687,10.04
Ruprecht_120,o,248.7953390397552,-48.27771422596586,0.485,0.05,0.99,0,8.03,8.18,8.31,-0.51,-0.37,-0.23,2.67,2.76,2.84,10.67,10.89,11.07,1.3804442726977912,-0.6033583620959393,0.0251476078610691,6.769
HSC_708,o,320.7435536578176,46.257784909388015,0.803,0.045,0.84,0,7.18,7.28,7.39,-0.1,0.06,0.23,1.6,1.7,1.81,10.51,10.72,10.96,0.0043389033965564,1.391514446307407,-0.0258894631936516,8.236
CWNU_1443,o,114.124974023447,-26.03267585988768,0.237,0.053,1.0,0,7.85,7.98,8.08,-0.12,0.04,0.19,1.46,1.52,1.59,12.3,12.49,12.71,-1.523114627925409,-2.751422608338483,-0.0926898947962122,10.03
Berkeley_67,o,69.48554820753158,50.737259804873695,0.464,0.061,0.11,0,8.86,8.92,8.97,0.05,0.17,0.31,2.9,2.98,3.07,11.38,11.55,11.68,-1.8465020199702789,0.8662502812672027,0.1345312403135516,10.006
HSC_1213,o,63.44106885599887,49.474168825644654,1.683,0.059,0.97,0,7.87,7.99,8.12,0.07,0.22,0.34,0.94,1.03,1.11,8.71,8.89,9.05,-0.534640609053076,0.2715868093157663,0.0306054787177231,8.661
HXHWL_45,o,350.3038452657454,58.357049237801846,0.998,0.034,1.0,0,7.72,7.83,7.94,0.18,0.36,0.52,2.18,2.26,2.35,9.91,10.09,10.25,-0.3785587926725426,0.9701422320497636,-0.0022491506683709,8.556
Collinder_89,o,94.71041860067892,23.124924615396942,0.514,0.037,0.99,0,6.97,7.15,7.35,-0.05,0.22,0.52,1.58,1.76,1.99,11.07,11.51,12.0,-1.9768944327600744,-0.3039854362973173,0.173068852935939,10.103
CWNU_1541,o,135.35253308169078,-40.46185836483493,0.195,0.049,0.81,0,8.56,8.7,8.84,-0.83,-0.67,-0.51,2.22,2.35,2.49,12.42,12.73,13.02,-0.4329054259120042,-3.4806061707492697,0.2812348267540986,9.236
NGC_136,o,7.880332789705348,61.50659852603247,0.2,0.05,0.99,0,8.54,8.65,8.78,-0.05,0.15,0.33,1.72,1.84,1.97,12.79,13.04,13.33,-2.061351057846961,3.491023201862208,-0.0432307035744551,10.765
SAI_14,o,21.517146014803853,62.62744347555489,0.211,0.053,0.49,0,8.68,8.77,8.85,-0.57,-0.43,-0.32,3.43,3.54,3.64,12.98,13.23,13.51,-2.6573802441189045,3.539288339244791,0.0501715530725767,11.346
Theia_1975,o,305.6101744674584,37.15194331098234,0.495,0.031,0.74,0,6.99,7.12,7.23,0.61,0.81,0.98,3.64,3.74,3.85,11.47,11.74,12.0,0.5533696889480266,2.1586416508931645,0.0425491775533542,7.87
Bochum_3,o,105.86995117914016,-5.017904418109543,0.396,0.043,1.0,0,8.27,8.36,8.44,-0.48,-0.34,-0.2,0.79,0.86,0.91,11.39,11.53,11.68,-1.5771975250901755,-1.266752824278977,0.0591451374864109,9.782
CWNU_508,o,338.4273393104698,62.60337670929189,0.969,0.04,0.77,0,7.09,7.2,7.3,0.28,0.45,0.61,2.73,2.84,2.94,10.12,10.37,10.62,-0.3617554010593444,1.12636076402961,0.1220531701137846,8.558
Pismis_16,o,147.82987015027135,-53.17600989287653,0.37,0.04,0.92,0,7.45,7.62,7.79,0.5,0.73,0.98,1.76,1.88,2.01,11.69,12.0,12.33,0.3427472151414656,-2.488224656935725,0.0708250679596878,8.167
Theia_390,m,93.90198335876876,40.849136124430245,1.701,0.048,1.0,0,8.04,8.12,8.2,0.13,0.22,0.32,0.44,0.51,0.56,8.76,8.86,8.98,-0.575151683804469,0.0753886233364611,0.1574948893096676,8.697
CWNU_1173,o,178.98430567736563,-70.12635055060979,2.251,0.042,0.97,0,7.26,7.36,7.45,0.12,0.23,0.34,0.84,0.91,0.98,8.17,8.32,8.48,0.2159511538344611,-0.4027859618372174,-0.0212806427017221,7.916
NGC_2251,o,98.6836802789829,8.365762376593713,0.679,0.047,0.99,0,8.51,8.56,8.62,0.18,0.26,0.36,0.69,0.75,0.81,10.67,10.77,10.9,-1.3064376260341373,-0.5704960090872326,0.0481155295083232,9.446
NGC_6208,o,252.3337271530368,-53.72037454640694,0.847,0.034,1.0,0,9.1,9.16,9.23,0.05,0.16,0.28,0.8,0.88,0.97,10.24,10.37,10.52,1.0578448765945554,-0.5218522967301602,-0.0798012763639472,7.083
UBC_1025,o,276.111271305537,-10.585497457825165,0.376,0.071,0.1,1,8.59,8.71,8.82,-0.38,-0.2,-0.04,4.65,4.81,4.94,11.48,11.78,12.07,2.126614505582724,0.7927700933494601,0.0793630616522179,6.048
HSC_1749,o,105.11393754635692,-8.899969387960082,0.361,0.051,0.88,1,8.08,8.3,8.53,0.17,0.35,0.54,0.6,0.74,0.88,12.16,12.43,12.76,-2.2786005785481507,-2.0426957677996644,-0.0626693447976383,10.599
FSR_0833,o,91.3331814982334,30.850332145945583,0.199,0.054,0.89,0,7.55,7.73,7.95,-0.41,-0.2,0.04,1.43,1.58,1.74,11.96,12.36,12.72,-2.954289849372824,-0.0255141263604594,0.289769930610369,11.076
FoF_282,o,265.24950442202714,-33.269165229224605,0.352,0.053,0.84,0,7.54,7.74,8.0,-1.49,-1.17,-0.9,5.21,5.44,5.63,10.78,11.26,11.69,1.7810219041336603,-0.1310267244461199,-0.0076513949810505,6.342
