Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
NGC_2318         ,104.8655,-13.8223,0.173,143,-1.781,0.135,-2.194,0.137,0.717,0.047,   8.652,  0.264,  2,1227,83,8.726,0.088,0.009,0.02,0.954,0.184,clusters1/NGC_2318.dat         ,NGC 2318                ,104.8655,-13.8223,NGC_2318,0.0437596069354331,0.152297552834316,3.5,0.5,104.86760426528927,-13.815188330864155
NGC_2323         ,105.6665,-8.3794,0.264,853,-0.691,0.283,-0.62,0.204,0.999,0.059,  18.062,  1.057, 11,948,20,8.628,0.134,0.0,0.061,0.679,0.1,clusters1/NGC_2323.dat         ,NGC 2323                ,105.6665,-8.3794,NGC_2323,0.4608957843940615,0.2999523734308411,4.2,0.5,105.6946551558975,-8.36127030499843
NGC_2324         ,106.0291,1.0464,0.068,304,-0.308,0.113,-0.096,0.101,0.189,0.059,  43.948,  1.319,  8,3701,101,8.751,0.045,-0.216,0.058,0.767,0.059,clusters1/NGC_2324.dat         ,NGC 2324                ,106.0291,1.0464,NGC_2324,0.3660057360422222,-0.066390155954096,2.7,0.5,106.03476713722964,1.0453721981417814
NGC_2335         ,106.6787,-10.0153,0.112,192,-0.793,0.146,-0.658,0.144,0.581,0.07,        ,       ,   ,1462,82,7.812,0.22,-0.071,0.101,1.48,0.076,clusters1/NGC_2335.dat         ,NGC 2335                ,106.6787,-10.0153,NGC_2335,0.5327375036236432,-0.3229989639883648,2.0,0.5,106.69990188632745,-10.027957657597428
NGC_2343         ,107.0277,-10.6118,0.066,64,0.209,0.171,-0.184,0.129,0.898,0.037,        ,       ,   ,1068,36,8.174,0.088,0.063,0.11,0.743,0.078,clusters1/NGC_2343.dat         ,NGC 2343                ,107.0277,-10.6118,NGC_2343,-0.0915805931283832,-0.1119937656612211,0.9,0.5,107.02270132200101,-10.61780817225168
NGC_2345         ,107.0742,-13.2034,0.092,469,-1.331,0.123,1.333,0.12,0.347,0.056,  59.546,  0.265,  4,2428,88,7.86,0.259,-0.1,0.084,1.892,0.073,clusters1/NGC_2345.dat         ,NGC 2345                ,107.0742,-13.2034,NGC_2345,0.0866206207935498,0.4793141446977387,3.1,0.5,107.07629947171431,-13.19208916865758
NGC_2353         ,108.634,-10.266,0.116,218,-1.114,0.157,0.721,0.153,0.826,0.06,        ,       ,   ,1140,16,8.127,0.185,-0.055,0.049,0.522,0.046,clusters1/NGC_2353.dat         ,NGC 2353                ,108.634,-10.266,NGC_2353,0.1933338828550468,0.1892746067642452,1.9,0.5,108.64387464725654,-10.256487012013089
NGC_2354         ,108.5152,-25.7385,0.148,275,-2.89,0.138,1.817,0.149,0.752,0.037,  36.157,  0.721, 33,1258,42,9.21,0.034,-0.147,0.025,0.531,0.058,clusters1/NGC_2354.dat         ,NGC 2354                ,108.5152,-25.7385,NGC_2354,-0.5926419461851467,0.4404200026478264,2.4,0.5,108.48524014055877,-25.718437946609438
NGC_2355         ,109.2476,13.7711,0.078,280,-3.82,0.175,-1.073,0.175,0.491,0.062,  36.697,  0.584,  6,1794,41,9.092,0.031,0.019,0.033,0.323,0.018,clusters1/NGC_2355.dat         ,NGC 2355                ,109.2476,13.7711,NGC_2355,0.0599094564578015,-0.0729870766881308,1.5,0.5,109.24956996364432,13.768768971292491
NGC_2358         ,109.2462,-17.1171,0.213,92,-1.352,0.104,0.523,0.114,1.067,0.055,  27.881,  0.353,  3,900,38,8.762,0.062,-0.013,0.094,0.374,0.073,clusters1/NGC_2358.dat         ,NGC 2358                ,109.2462,-17.1171,NGC_2358,0.5340711030395324,-0.4152459249864737,2.5,0.5,109.28178090808417,-17.14353227034457
