Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
Trumpler_23      ,240.2142,-53.5438,0.056,406,-4.162,0.15,-4.748,0.136,0.349,0.061, -63.270,  0.726, 10,2228,93,8.466,0.226,0.127,0.063,2.729,0.078,clusters1/Trumpler_23.dat      ,Cl Trumpler 23          ,240.2142,-53.5438,Trumpler_23,0.0439589551283443,0.2866734952619616,1.0,0.5,240.21610213181705,-53.53642782089379
Trumpler_25      ,261.1306,-39.0118,0.074,625,0.357,0.169,-2.115,0.135,0.402,0.063, -25.945,  0.352, 17,1835,31,8.355,0.105,0.194,0.048,2.88,0.039,clusters1/Trumpler_25.dat      ,Cl Trumpler 25          ,261.1306,-39.0118,Trumpler_25,-0.3017644089786842,0.0466998687391759,1.8,0.5,261.11847405830366,-39.01034122230341
Trumpler_26      ,262.135,-29.4882,0.072,81,-0.866,0.147,-3.084,0.101,0.629,0.059,  -7.528,  0.269,  4,1348,68,8.651,0.304,0.249,0.048,1.757,0.122,clusters1/Trumpler_26.dat      ,Cl Trumpler 26          ,262.135,-29.4882,Trumpler_26,-0.2022593350439656,0.071403141158473,1.2,0.5,262.1251240032152,-29.4851646956481
Trumpler_28      ,264.2356,-32.4682,0.094,124,-0.833,0.245,-2.79,0.21,0.669,0.078, -39.396,  0.223,  3,1355,81,7.276,0.087,0.174,0.14,2.244,0.075,clusters1/Trumpler_28.dat      ,Cl Trumpler 28          ,264.2356,-32.4682,Trumpler_28,-0.1736628954890138,-0.1034286713706205,1.5,0.5,264.22689580097085,-32.47257315174886
Trumpler_29      ,265.3588,-40.1693,0.124,170,0.478,0.134,-2.315,0.138,0.673,0.061,        ,       ,   ,1353,66,7.728,0.056,0.192,0.111,0.932,0.058,clusters1/Trumpler_29.dat      ,Cl Trumpler 29          ,265.3588,-40.1693,Trumpler_29,-0.1412709200610784,0.3746995079463957,2.2,0.5,265.35097287676604,-40.15343225624916
Trumpler_3       ,48.0171,63.2202,0.23,219,-3.351,0.231,-0.127,0.202,1.454,0.062, -22.273,  6.989,  5,646,11,7.628,0.089,-0.21,0.017,1.247,0.04,clusters1/Trumpler_3.dat       ,Cl Trumpler 3           ,48.0171,63.2202,Trumpler_3,-0.0221205932695873,-0.1300970189741468,2.4,0.5,48.01274730462637,63.208661218044206
Trumpler_30      ,269.1779,-35.302,0.087,123,1.246,0.177,-2.184,0.14,0.707,0.065, -18.671,  0.569,  2,1222,62,8.77,0.04,0.324,0.076,0.608,0.029,clusters1/Trumpler_30.dat      ,Cl Trumpler 30          ,269.1779,-35.302,Trumpler_30,0.0368522292944875,0.0803983082259178,1.6,0.5,269.180017104586,-35.298230354919795
Trumpler_32      ,274.3011,-13.3506,0.058,183,-1.052,0.141,1.152,0.139,0.578,0.063,  17.222,  0.949,  6,1565,107,8.811,0.074,-0.008,0.093,2.477,0.086,clusters1/Trumpler_32.dat      ,Cl Trumpler 32          ,274.3011,-13.3506,Trumpler_32,-0.2965091538807796,-0.1449214978057096,0.9,0.5,274.2899428282966,-13.355905436581281
Trumpler_33      ,276.1641,-19.7122,0.051,40,0.423,0.173,0.447,0.122,0.682,0.048,        ,       ,   ,1407,68,7.689,0.152,0.145,0.1,1.499,0.066,clusters1/Trumpler_33.dat      ,Cl Trumpler 33          ,276.1641,-19.7122,Trumpler_33,-0.0577193414500745,-0.1113712039415455,1.0,0.5,276.1616031721177,-19.716735235001476
Trumpler_5       ,99.1284,9.4601,0.137,2110,-0.586,0.209,0.285,0.192,0.283,0.097,  51.472,  0.908, 17,3260,122,9.539,0.022,-0.372,0.031,2.022,0.022,clusters1/Trumpler_5.dat       ,Cl Trumpler 5           ,99.1284,9.4601,Trumpler_5,0.2551140155731808,0.8448538625196562,5.2,0.5,99.1329457434864,9.474948609161467
Trumpler_7       ,111.8506,-23.9506,0.064,117,-2.501,0.181,3.322,0.12,0.557,0.073,        ,       ,   ,1546,60,8.185,0.278,-0.1,0.083,1.027,0.141,clusters1/Trumpler_7.dat       ,Cl Trumpler 7           ,111.8506,-23.9506,Trumpler_7,-0.1063387032950595,0.1761498111017188,1.4,0.5,111.84628792959309,-23.944071711622332
Trumpler_9       ,118.9154,-25.8943,0.04,130,-3.411,0.105,3.073,0.11,0.344,0.066,        ,       ,   ,2377,86,7.869,0.263,-0.083,0.053,0.847,0.069,clusters1/Trumpler_9.dat       ,Cl Trumpler 9           ,118.9154,-25.8943,Trumpler_9,0.0232336005271882,0.2923788543143342,1.3,0.5,118.91602249232314,-25.887252428451266
Turner_5         ,143.4507,-36.4097,0.751,26,0.034,0.212,-3.079,0.266,2.342,0.094,  -3.584,  1.251,  5,430,13,8.565,0.112,-0.075,0.043,0.235,0.061,clusters1/Turner_5.dat         ,Cl Turner 5             ,143.4507,-36.4097,Turner_5,-2.3659103456388544,0.0606333400298098,3.7,0.5,143.05902780140207,-36.400981284047276
Turner_9         ,296.1273,29.5138,0.161,46,0.347,0.109,-2.398,0.14,0.559,0.037, -12.753,  0.294,  2,1614,62,8.565,0.084,0.289,0.116,0.705,0.133,clusters1/Turner_9.dat         ,Cl Turner 9             ,296.1273,29.5138,Turner_9,0.7123912464970203,-0.614103877418458,5.7,0.5,296.15635404483857,29.491996617452983
UBC_104          ,280.7024,-6.2511,0.09,106,0.472,0.129,-0.808,0.111,0.301,0.067,        ,       ,   ,2741,151,8.428,0.634,0.295,0.112,1.781,0.154,clusters2/UBC_104.dat          ,                        ,280.7024,-6.2511,UBC_104,-0.0554339811581758,-0.2887407229814052,3.4,0.5,280.7012343059093,-6.257135615218144
UBC_108          ,281.6215,-5.1825,0.106,55,-2.939,0.078,-3.652,0.058,0.625,0.036,  16.328,  1.214,  3,1524,40,8.753,0.127,0.032,0.237,2.406,0.178,clusters2/UBC_108.dat          ,                        ,281.6215,-5.1825,UBC_108,-0.1220818242288279,0.1908347679018458,2.8,0.5,281.61689146630914,-5.175325425049927
UBC_118          ,282.645,9.7851,0.12,93,-0.22,0.117,-4.218,0.117,0.658,0.049,        ,       ,   ,1367,56,8.329,0.186,0.078,0.101,1.53,0.069,clusters2/UBC_118.dat          ,                        ,282.645,9.7851,UBC_118,-0.2676824661936745,-0.2596514650690702,2.7,0.5,282.6336152291211,9.774216904060825
UBC_121          ,288.9061,12.8591,0.134,124,-1.252,0.11,-3.346,0.109,0.553,0.069,        ,       ,   ,1640,95,7.091,0.436,0.024,0.18,2.842,0.098,clusters2/UBC_121.dat          ,                        ,288.9061,12.8591,UBC_121,-0.3334407637149086,-0.2924192535489638,3.9,0.7,288.89415157420035,12.848883638717183
UBC_132          ,299.2772,28.4385,0.073,271,-1.916,0.148,-4.801,0.152,0.271,0.08,   8.050,  0.977,  4,2906,309,8.681,0.774,0.158,0.147,3.05,0.128,clusters2/UBC_132.dat          ,                        ,299.2772,28.4385,UBC_132,-0.2877423785323323,0.1816512105879084,3.7,0.5,299.27074800133835,28.442081350883335
UBC_133          ,303.7227,28.3645,0.132,150,-1.119,0.133,-4.649,0.134,0.582,0.077,        ,       ,   ,1555,41,7.648,0.416,0.407,0.203,2.788,0.063,clusters2/UBC_133.dat          ,                        ,303.7227,28.3645,UBC_133,-0.406039419760031,-0.3440875742919935,3.6,0.6,303.70569980196086,28.35182063946816
UBC_134          ,299.7304,31.0901,0.074,93,-2.178,0.079,-5.977,0.116,0.368,0.055,        ,       ,   ,2301,83,7.341,0.287,0.118,0.153,2.464,0.067,clusters2/UBC_134.dat          ,                        ,299.7304,31.0901,UBC_134,-0.4183273506487506,0.2916736281553831,2.9,0.5,299.7182353122211,31.09736221383609
UBC_136          ,304.5007,32.6013,0.167,155,-0.028,0.127,-3.261,0.142,0.693,0.07,        ,       ,   ,1380,59,8.145,0.254,0.297,0.185,2.507,0.119,clusters2/UBC_136.dat          ,                        ,304.5007,32.6013,UBC_136,-0.1716669233550494,-0.1606726406862471,3.8,0.5,304.49224022589357,32.59462880040016
UBC_148          ,309.725,46.4792,0.202,177,-2.102,0.138,-3.216,0.156,0.407,0.07,        ,       ,   ,2130,96,7.615,0.326,0.166,0.169,1.953,0.138,clusters2/UBC_148.dat          ,                        ,309.725,46.4792,UBC_148,0.4965218041118771,0.195646798502846,5.7,0.6,309.7443974693915,46.484461147376436
UBC_149          ,312.4313,46.4637,0.288,207,-0.869,0.117,-1.938,0.126,0.381,0.044, -27.121,  1.001,  3,2229,48,7.969,0.226,0.096,0.095,1.44,0.088,clusters2/UBC_149.dat          ,                        ,312.4313,46.4637,UBC_149,-1.243608151871335,0.1312917196382166,8.4,0.5,312.3848889863365,46.467065428782185
UBC_151          ,311.9964,47.4565,0.193,127,-2.366,0.115,-1.532,0.136,0.561,0.05,        ,       ,   ,1636,49,8.108,0.181,0.211,0.056,1.124,0.07,clusters2/UBC_151.dat          ,                        ,311.9964,47.4565,UBC_151,-1.4982115888514471,-1.845755154216376,3.9,0.5,311.91889384326527,47.391832041822234
UBC_152          ,314.3567,47.3677,0.095,34,-0.534,0.095,-1.747,0.108,0.707,0.036,        ,       ,   ,1363,28,8.049,0.403,0.282,0.208,1.961,0.163,clusters2/UBC_152.dat          ,                        ,314.3567,47.3677,UBC_152,0.1912845539650574,0.6791484632785671,2.1,0.5,314.36857863844693,47.396248427272575
UBC_154          ,317.0997,46.321,0.115,119,-2.306,0.113,-3.695,0.114,0.255,0.058, -35.360,  0.967,  6,3075,154,8.791,0.175,-0.031,0.17,1.799,0.168,clusters2/UBC_154.dat          ,                        ,317.0997,46.321,UBC_154,0.3654928517355156,0.4091762848333307,5.2,0.5,317.1095623274677,46.32862366530185
UBC_155          ,318.4297,50.1395,0.164,137,-2.886,0.15,-4.054,0.152,0.562,0.078,        ,       ,   ,1636,52,7.105,0.109,0.047,0.208,3.281,0.096,clusters2/UBC_155.dat          ,                        ,318.4297,50.1395,UBC_155,-0.1642930187338134,-0.5243257737390277,3.5,0.9,318.4207259689062,50.12113678465263
UBC_156          ,321.7425,49.1057,0.088,107,-3.744,0.136,-4.379,0.129,0.412,0.057,        ,       ,   ,2122,145,7.529,0.437,0.037,0.159,1.951,0.155,clusters2/UBC_156.dat          ,                        ,321.7425,49.1057,UBC_156,-0.1334957350332306,0.391202914611334,3.0,0.5,321.7369929682922,49.11626267587415
UBC_157          ,328.7515,49.711,0.122,64,2.115,0.128,-0.32,0.161,0.834,0.07,        ,       ,   ,1190,26,8.092,0.29,0.063,0.061,0.967,0.069,clusters2/UBC_157.dat          ,                        ,328.7515,49.711,UBC_157,0.2487688299535246,-0.0994369562484456,1.9,0.5,328.7700209820777,49.70621086118593
UBC_162          ,327.7856,53.0077,0.143,136,-4.097,0.146,-4.511,0.116,0.418,0.057,        ,       ,   ,2062,57,8.276,0.352,0.161,0.12,1.912,0.054,clusters2/UBC_162.dat          ,                        ,327.7856,53.0077,UBC_162,-0.2814031306724729,-0.2249599715310317,4.8,0.5,327.7726068502141,53.00144843980004
UBC_166          ,334.2582,54.2445,0.136,261,-3.613,0.157,-2.994,0.155,0.302,0.068,        ,       ,   ,3071,164,7.234,0.481,-0.013,0.085,1.493,0.121,clusters2/UBC_166.dat          ,                        ,334.2582,54.2445,UBC_166,0.1262584696735533,-0.2362014865333357,5.3,0.8,334.2622308865339,54.24009311142601
UBC_169          ,342.6554,49.4956,0.09,51,-4.008,0.143,-3.356,0.125,0.691,0.06, -29.614,  0.205,  2,1334,60,8.487,0.061,-0.1,0.136,0.563,0.108,clusters2/UBC_169.dat          ,                        ,342.6554,49.4956,UBC_169,-0.5364029300949538,-0.2841133520016718,2.1,0.5,342.6199377568327,49.483391808199016
UBC_172          ,343.407,54.3224,0.128,131,-1.648,0.122,-1.408,0.096,0.368,0.071,        ,       ,   ,2309,36,8.366,0.25,0.135,0.097,1.082,0.137,clusters2/UBC_172.dat          ,                        ,343.407,54.3224,UBC_172,0.6858845522623582,-0.2197392748806681,5.1,0.5,343.4361780991209,54.31694384522279
UBC_175          ,344.4295,54.3782,0.169,85,1.418,0.127,-0.725,0.12,0.728,0.065,        ,       ,   ,1318,33,8.648,0.141,0.195,0.124,1.072,0.194,clusters2/UBC_175.dat          ,                        ,344.4295,54.3782,UBC_175,-0.2620550241525485,0.3705537890488957,2.7,0.5,344.40993297873706,54.394307044310146
UBC_177          ,339.6465,67.057,0.177,73,-1.945,0.185,-0.994,0.13,0.857,0.06,        ,       ,   ,1147,41,7.328,0.252,0.252,0.165,2.044,0.172,clusters2/UBC_177.dat          ,                        ,339.6465,67.057,UBC_177,-0.0805386085545949,0.2577609451706024,3.2,0.7,339.6361739263628,67.0698755287505
UBC_178          ,346.2117,63.3256,0.201,156,-1.2,0.212,-1.834,0.157,1.146,0.065,        ,       ,   ,867,15,7.022,0.08,0.245,0.107,1.983,0.124,clusters2/UBC_178.dat          ,                        ,346.2117,63.3256,UBC_178,0.2474144889524376,0.2513528532808822,2.2,0.5,346.2481427026623,63.34220603164816
UBC_179          ,350.9569,59.4925,0.169,105,-2.86,0.124,-3.021,0.122,0.806,0.071,        ,       ,   ,1175,21,8.115,0.315,0.124,0.085,2.036,0.107,clusters2/UBC_179.dat          ,                        ,350.9569,59.4925,UBC_179,0.1116388872876452,-0.1906669637766489,2.6,0.5,350.9676205066392,59.48320218899156
UBC_17a          ,83.3301,-1.6064,1.422,539,1.557,0.319,-1.218,0.271,2.753,0.101,  22.119,  2.603, 27,355,3,7.046,0.27,-0.23,0.19,0.513,0.548,clusters2/UBC_17a.dat          ,                        ,83.3301,-1.6064,UBC_17a,1.2429023249990294,0.5131693060829399,6.4,0.5,83.53077151496979,-1.523566361619882
UBC_182          ,4.1134,52.2792,0.145,70,-2.846,0.202,-1.822,0.156,0.575,0.138,        ,       ,   ,1603,67,7.053,0.097,-0.171,0.103,0.738,0.113,clusters2/UBC_182.dat          ,                        ,4.1134,52.2792,UBC_182,-0.9184837888801978,-1.285990437164426,2.7,0.6,4.059796778036696,52.23322289181796
UBC_188          ,27.4638,53.9225,0.264,220,-0.847,0.263,-1.54,0.205,0.324,0.07,        ,       ,   ,2577,161,7.224,0.123,-0.093,0.084,0.699,0.079,clusters2/UBC_188.dat          ,                        ,27.4638,53.9225,UBC_188,0.4725509806431667,0.1330069661385629,9.5,0.7,27.481642740678765,53.92545589076763
UBC_191          ,37.4846,57.9623,0.225,476,-0.383,0.194,-0.927,0.19,0.369,0.08,        ,       ,   ,2242,79,7.185,0.319,-0.042,0.084,2.105,0.043,clusters2/UBC_191.dat          ,                        ,37.4846,57.9623,UBC_191,0.148667733037012,0.8712810610379549,6.0,0.8,37.491766496164615,57.984565957735576
UBC_192          ,37.0216,57.1724,0.274,534,-0.421,0.158,-1.116,0.142,0.392,0.053,        ,       ,   ,2239,75,7.278,0.176,0.021,0.072,1.773,0.036,clusters2/UBC_192.dat          ,                        ,37.0216,57.1724,UBC_192,-1.8217577042351625,0.5895193999719659,7.9,0.5,36.93557069783455,57.18745633125605
UBC_194          ,37.7028,48.3213,0.142,119,0.485,0.216,-2.868,0.207,0.707,0.106,  -4.953,  0.518,  2,1210,87,8.523,0.275,-0.091,0.073,0.829,0.154,clusters2/UBC_194.dat          ,                        ,37.7028,48.3213,UBC_194,-0.1986995187874152,-0.2368706438109429,3.2,0.5,37.688653538610644,48.310082861176966
UBC_198          ,82.1232,35.7013,0.179,161,0.037,0.154,-1.969,0.125,0.506,0.088,        ,       ,   ,1741,184,7.282,0.15,-0.153,0.098,1.465,0.066,clusters2/UBC_198.dat          ,                        ,82.1232,35.7013,UBC_198,-0.034842857964449,1.2895532020412972,4.7,0.8,82.12178721734449,35.743738798579905
UBC_210          ,97.6621,-1.4408,0.172,216,0.018,0.22,1.358,0.241,0.354,0.118,        ,       ,   ,2242,95,9.016,0.046,-0.119,0.029,1.946,0.049,clusters2/UBC_210.dat          ,                        ,97.6621,-1.4408,UBC_210,0.1346914772642691,0.3341711609562861,5.3,0.7,97.6655432047302,-1.4322600343179266
UBC_217          ,108.2112,-4.6901,0.052,72,-2.594,0.157,2.149,0.142,0.393,0.069,        ,       ,   ,2521,56,8.921,0.056,-0.269,0.146,0.574,0.114,clusters2/UBC_217.dat          ,                        ,108.2112,-4.6901,UBC_217,0.0035019147965957,-0.0504826823913528,2.4,0.5,108.21127985695345,-4.691247340193687
UBC_220          ,110.6405,-17.1671,0.113,173,-1.315,0.165,1.447,0.166,0.335,0.108,        ,       ,   ,2601,92,8.421,0.322,-0.136,0.102,1.828,0.188,clusters2/UBC_220.dat          ,                        ,110.6405,-17.1671,UBC_220,0.439784046804867,0.3269770829306875,4.3,0.8,110.65063906327548,-17.15989697617972
UBC_225          ,106.6542,-23.5697,0.112,52,-2.479,0.088,4.449,0.127,0.324,0.06,  59.483,  0.537,  4,2799,280,8.836,0.354,-0.001,0.166,0.577,0.232,clusters2/UBC_225.dat          ,                        ,106.6542,-23.5697,UBC_225,0.0487987925365214,1.9470198957071911,4.8,0.5,106.65528950557146,-23.529844322158525
UBC_230          ,114.4981,-25.3751,0.153,154,-2.652,0.119,3.185,0.132,0.483,0.074,        ,       ,   ,1867,70,7.934,0.281,0.06,0.091,0.968,0.119,clusters2/UBC_230.dat          ,                        ,114.4981,-25.3751,UBC_230,0.6743393209141431,0.2788437822399903,4.1,0.5,114.52100274286389,-25.366540877783745
UBC_232          ,120.0968,-24.2802,0.109,94,-2.703,0.134,1.072,0.124,0.306,0.079,  48.261,  0.579,  2,2982,201,8.512,0.337,-0.068,0.157,0.664,0.17,clusters2/UBC_232.dat          ,                        ,120.0968,-24.2802,UBC_232,-0.7670147655298045,1.459649599796414,4.6,0.7,120.08063615903806,-24.25215361704174
UBC_233          ,112.7955,-28.3765,0.151,115,-0.839,0.096,0.722,0.115,0.381,0.061,        ,       ,   ,2194,93,8.621,0.185,0.044,0.07,0.759,0.077,clusters2/UBC_233.dat          ,                        ,112.7955,-28.3765,UBC_233,-0.4117743509920828,-0.1207738577045773,5.0,0.9,112.78327770538633,-28.379653434989148
UBC_237          ,118.6044,-29.7301,0.123,93,-2.445,0.098,2.093,0.11,0.539,0.059,        ,       ,   ,1703,50,8.465,0.216,0.045,0.102,1.135,0.097,clusters2/UBC_237.dat          ,                        ,118.6044,-29.7301,UBC_237,0.2090569027533853,-0.2048898500271949,3.5,0.5,118.61250022299349,-29.7369930732865
UBC_241          ,127.0861,-31.01,0.102,158,-2.98,0.164,3.249,0.174,0.178,0.088,        ,       ,   ,4144,195,8.409,0.637,-0.081,0.116,0.897,0.15,clusters2/UBC_241.dat          ,                        ,127.0861,-31.01,UBC_241,-0.6138558179330857,-0.5255117835316039,5.4,0.5,127.07619664538505,-31.01726545400309
UBC_245          ,129.3193,-45.2266,0.209,113,-4.635,0.116,4.312,0.144,0.424,0.049,        ,       ,   ,2186,81,7.158,0.118,0.117,0.198,1.586,0.123,clusters2/UBC_245.dat          ,                        ,129.3193,-45.2266,UBC_245,-0.2304023049379395,-0.0669217550577769,5.9,0.5,129.31072543490296,-45.228353720441966
UBC_247          ,126.6615,-50.7084,0.125,65,-5.068,0.141,6.107,0.125,0.87,0.058,        ,       ,   ,1097,26,8.282,0.232,0.18,0.095,1.09,0.091,clusters2/UBC_247.dat          ,                        ,126.6615,-50.7084,UBC_247,0.4900392176361343,-0.3204875082658938,2.1,0.5,126.70193102766784,-50.725131918856356
UBC_248          ,137.9852,-52.2441,0.114,162,-4.098,0.138,3.892,0.141,0.28,0.067,  24.152,  0.716,  3,2609,124,8.272,0.423,0.074,0.073,1.507,0.116,clusters2/UBC_248.dat          ,                        ,137.9852,-52.2441,UBC_248,0.0820290993613017,0.0292841939109163,4.0,0.6,137.98814202843855,-52.24345685852078
UBC_249          ,136.9637,-52.932,0.209,113,-6.075,0.101,4.249,0.109,0.488,0.047,        ,       ,   ,1850,45,7.583,0.384,0.053,0.171,1.261,0.171,clusters2/UBC_249.dat          ,                        ,136.9637,-52.932,UBC_249,0.1172623591908141,-0.604845033509612,5.3,0.5,136.96972769647627,-52.95073231692056
UBC_251          ,140.43,-51.2437,0.134,98,-4.995,0.119,4.428,0.114,0.464,0.059,        ,       ,   ,1962,64,7.859,0.124,0.376,0.177,1.475,0.069,clusters2/UBC_251.dat          ,                        ,140.43,-51.2437,UBC_251,0.1726491446332891,0.5897142653962852,3.0,0.5,140.438050906301,-51.226478450051275
UBC_252          ,139.1956,-54.1496,0.156,627,-3.588,0.167,2.706,0.161,0.169,0.075,  19.511,  0.999,  5,3951,205,9.074,0.031,-0.223,0.095,1.44,0.085,clusters2/UBC_252.dat          ,                        ,139.1956,-54.1496,UBC_252,-0.3636445677991702,-0.355194626080344,8.9,0.5,139.1865948054343,-54.15475055071104
UBC_253          ,139.5541,-56.0171,0.09,65,-6.076,0.126,5.305,0.12,0.576,0.055,        ,       ,   ,1664,64,8.314,0.246,0.26,0.162,0.993,0.166,clusters2/UBC_253.dat          ,                        ,139.5541,-56.0171,UBC_253,-0.1821771693897194,0.1782954181393776,2.4,0.5,139.54287917458726,-56.010960323013045
UBC_258          ,158.8804,-57.6044,0.178,202,-7.229,0.133,3.573,0.137,0.383,0.054,        ,       ,   ,2406,56,7.403,0.409,0.197,0.087,0.824,0.102,clusters2/UBC_258.dat          ,                        ,158.8805,-57.6044,UBC_258,1.4588008244840722,-0.9399732959563228,5.3,0.5,158.94528115188996,-57.62676764125847
UBC_262          ,160.5464,-60.4512,0.091,95,-5.568,0.107,2.593,0.082,0.256,0.043,  -2.463,  0.522,  2,3399,442,7.209,0.516,-0.093,0.117,1.308,0.198,clusters2/UBC_262.dat          ,                        ,160.5464,-60.4512,UBC_262,0.6347779470194048,-0.5763824289006649,4.6,0.8,160.5681035738403,-60.46091411832529
UBC_267          ,168.3,-58.9064,0.173,215,-6.011,0.113,1.817,0.127,0.305,0.044,        ,       ,   ,2877,86,6.852,0.104,0.2,0.124,0.905,0.065,clusters2/UBC_267.dat          ,                        ,168.3,-58.9064,UBC_267,0.180360831275971,-0.3441563348952883,7.5,0.6,168.30695653911047,-58.91325372551941
UBC_270          ,169.7868,-59.5484,0.114,83,-6.365,0.091,1.133,0.081,0.395,0.038,        ,       ,   ,2410,100,7.113,0.507,0.048,0.125,1.248,0.115,clusters2/UBC_270.dat          ,                        ,169.7869,-59.5484,UBC_270,0.657595338438405,-0.3598077496387688,5.0,0.6,169.81765525491264,-59.55695050617247
UBC_272          ,168.1369,-62.2689,0.161,163,-5.83,0.111,1.578,0.097,0.402,0.061,        ,       ,   ,2310,57,7.633,0.324,0.189,0.118,1.391,0.051,clusters2/UBC_272.dat          ,                        ,168.137,-62.2689,UBC_272,-0.6425728451805277,0.2494542085947824,5.6,0.5,168.10265559132634,-62.262708479688854
UBC_275          ,167.7155,-65.7129,0.039,61,-5.502,0.114,2.306,0.104,0.21,0.055,        ,       ,   ,3833,160,8.3,0.411,0.008,0.119,1.628,0.088,clusters2/UBC_275.dat          ,                        ,167.7156,-65.7129,UBC_275,0.0387271153901362,0.7455055922517229,3.0,0.5,167.71690683593246,-65.70175615728175
UBC_276          ,172.8981,-60.7821,0.143,214,-7.333,0.117,1.837,0.096,0.176,0.05,        ,       ,   ,5581,800,6.746,0.481,0.082,0.138,2.001,0.095,clusters2/UBC_276.dat          ,                        ,172.8982,-60.7821,UBC_276,-0.5826415649877887,1.0314555023409966,9.9,0.7,172.88585014352847,-60.77151029170853
UBC_280          ,177.927,-62.6493,0.15,189,-5.646,0.096,0.666,0.1,0.389,0.047, -12.749,  0.197,  2,2255,78,7.523,0.186,0.172,0.076,0.861,0.057,clusters2/UBC_280.dat          ,                        ,177.9271,-62.6493,UBC_280,-0.4461001058617881,-0.3912234666397989,4.5,0.5,177.90232089789538,-62.659238165979986
UBC_281          ,178.1202,-64.5715,0.119,74,-5.616,0.14,0.208,0.087,0.364,0.051,        ,       ,   ,2552,65,7.473,0.375,0.52,0.201,0.904,0.127,clusters2/UBC_281.dat          ,                        ,178.1203,-64.5715,UBC_281,-0.53401797319213,-1.1799547864637416,3.9,0.5,178.09225049429168,-64.59798890748664
UBC_290          ,191.9119,-59.3585,0.162,193,-5.897,0.093,-0.287,0.1,0.589,0.061, -23.607,  0.249,  2,1533,34,8.23,0.177,0.132,0.05,0.851,0.071,clusters2/UBC_290.dat          ,                        ,191.9119,-59.3585,UBC_290,-0.5391157615614395,-0.1317813663039597,3.5,0.5,191.87235961304222,-59.3634193384844
UBC_292          ,200.3389,-61.2973,0.23,205,-3.649,0.118,-1.639,0.114,0.435,0.058,        ,       ,   ,2067,52,7.786,0.244,0.172,0.115,1.366,0.101,clusters2/UBC_292.dat          ,                        ,200.3389,-61.2973,UBC_292,-0.2170753823056532,-0.4170416383689144,6.1,0.5,200.3263665102764,-61.30885952236179
UBC_293          ,202.7307,-61.7809,0.16,159,-4.439,0.089,-1.708,0.09,0.298,0.059,        ,       ,   ,2862,138,7.761,0.446,0.297,0.059,1.913,0.06,clusters2/UBC_293.dat          ,                        ,202.7307,-61.7809,UBC_293,-0.1897379015959153,-0.1330755156678265,6.5,0.5,202.72266610114966,-61.78356386926146
UBC_296          ,216.2339,-61.0482,0.077,102,-3.692,0.105,-2.244,0.138,0.452,0.1,        ,       ,   ,1971,100,7.653,0.149,0.377,0.132,1.577,0.085,clusters2/UBC_296.dat          ,                        ,216.2339,-61.0482,UBC_296,-0.596763291630257,-0.4462301639198083,2.3,0.5,216.19804874312763,-61.06116689235158
UBC_299          ,219.6724,-62.1596,0.085,124,-3.439,0.097,-1.726,0.123,0.298,0.059,        ,       ,   ,2684,201,8.737,0.763,0.121,0.175,2.195,0.246,clusters2/UBC_299.dat          ,                        ,219.6724,-62.1596,UBC_299,0.088615745549216,0.170566091407089,3.7,0.5,219.67645016155484,-62.15595883910029
UBC_300          ,222.9877,-65.3133,0.108,121,-3.243,0.082,-2.05,0.111,0.509,0.061,        ,       ,   ,1824,90,8.533,0.226,0.113,0.095,2.205,0.129,clusters2/UBC_300.dat          ,                        ,222.9877,-65.3133,UBC_300,-0.4185442950768383,-0.2007946060288077,3.2,0.5,222.95621350542206,-65.31960410990943
UBC_302          ,220.1552,-55.3951,0.09,33,-4.847,0.111,-4.153,0.09,0.829,0.036,        ,       ,   ,1180,19,8.875,0.071,-0.046,0.11,1.172,0.199,clusters2/UBC_302.dat          ,                        ,220.1552,-55.3951,UBC_302,0.1777872084972429,0.3649677730018701,1.3,0.5,220.1703937100704,-55.37737777536754
UBC_303          ,221.8683,-56.2631,0.084,74,-4.844,0.101,-3.866,0.085,0.536,0.039, -49.116,  0.239,  2,1667,129,8.873,0.427,0.105,0.18,1.639,0.324,clusters2/UBC_303.dat          ,                        ,221.8683,-56.2631,UBC_303,-0.226786479541901,0.0094565214631323,2.7,0.5,221.8542650724851,-56.26277417982823
UBC_31           ,61.1114,32.8431,1.476,152,3.741,0.212,-5.42,0.208,2.725,0.094,  20.259,  2.919, 13,379,2,7.418,0.495,0.425,0.013,1.573,0.195,clusters2/UBC_31.dat           ,                        ,61.1114,32.8431,UBC_31,-1.8775205071491552,-1.349542796650436,7.0,0.5,60.77433579384348,32.63862802060917
UBC_315          ,246.3678,-47.9304,0.144,197,-2.748,0.175,-3.783,0.081,0.414,0.068, -54.650,  0.943,  2,1968,84,7.91,0.284,0.313,0.119,2.485,0.073,clusters2/UBC_315.dat          ,                        ,246.3678,-47.9304,UBC_315,0.3376572217008338,-0.1306115934041383,4.5,0.5,246.382472679109,-47.9342016535484
