name,RA_ICRS,DE_ICRS,Dist,e_Dist,logage,e_logage,Av,e_Av,r_memb,m_binsize,m_memb,M_class,P_class,R_class,rc,rt,c,n0,unc_rc_max,unc_rt_max,unc_c_max,unc_n0_max,unc_rc_min,unc_rt_min,unc_c_min,unc_n0_min,steps_emcee,M_bp,M_rp,M(rt)_dv,M_bp_dv,M_rp_dv,M(rt_min),M(rt),M(rt_max),unc_M(rt_min),unc_M(rt),unc_M(rt_max)
NGC_6694,281.3169,-9.3847,1658,65,8.003,0.175,1.872,0.025,0.5,0.5,0.5,M1,P1,R1,1.91384,3.61511,0.35694000000000004,70.28038000000001,0.5029,0.8516,0.2291,61.2401,-0.3257,-0.5242,-0.1977,-24.0679,100000,788.9939999999998,835.076,782.763,849.9580000000002,897.37,662.615,710.0939999999998,755.4789999999998,16.378,17.164,16.06
NGC_6704,282.6861,-5.1997,1761,81,8.082,0.38,2.45,0.077,0.5,0.5,0.5,M1,P1,R1,0.74412,4.2411400000000015,0.42016,52.51575,0.1847,16.3933,0.4211,25.8865,-0.1378,-1.6487,-0.2867,-11.9277,200000,777.127,720.982,741.59,785.414,760.51,590.206,729.8839999999999,757.956,17.195999999999998,19.727999999999998,20.766
NGC_6705,282.7653,-6.2694,1888,65,8.469,0.085,1.457,0.051,0.5,0.5,0.5,M1,P1,R1,2.31579,6.59125,1.52504,145.04511000000005,0.2863,1.6949,0.8306,46.7281,-0.2307,-1.0505,-0.8509,-29.1047,100000,5551.545,5765.939,6143.404,6100.373000000001,6255.576,5241.304,5738.194,6009.339,51.24100000000001,58.161,58.573
NGC_6716,283.6002,-19.8956,686,14,8.168,0.077,0.65,0.044,0.5,1.0,0.5,M2,P1,R2,1.46122,4.97829,1.10268,21.67864,0.63,54.8309,1.1292,47.4237,-0.4512,-2.3328,-0.7841,-9.7474,200000,184.57,190.61,202.368,200.178,204.345,189.939,189.939,189.939,7.159,6.805,6.974
NGC_6735,285.156,-0.5129,1983,188,8.466000000000001,0.58,2.346,0.173,0.5,0.5,0.5,M2,P2,R1,2.09406,23.49551,0.07172,5.3192,0.3746,39.4014,0.0681,1.5194,-0.2278,-12.1669,-0.0377,-0.5916,100000,847.487,955.945,948.944,1025.158,1150.764,744.073,776.2330000000002,776.2330000000002,24.763,24.336,24.585
NGC_6755,286.9366,4.215,1891,114,8.275,0.222,2.4,0.04,0.5,0.5,0.5,M1,P1,R1,1.17471,20.29168,0.05684,19.20743,0.0435,9.2601,0.0434,0.7273,-0.0431,-4.8931,-0.0265,-0.6429,100000,1399.441,1517.158,1556.394,1474.26,1581.2089999999996,1536.229,1536.229,1536.229,27.381,26.798000000000002,27.365
NGC_6791,290.2238,37.7763,4447,103,9.859,0.037000000000000005,0.313,0.028,0.5,0.5,0.5,M1,P2,R1,3.72799,18.45716,0.10255,32.51427,0.1289,1.8676,0.0637,1.8994,-0.1189,-1.6051,-0.0517,-1.6266,100000,23623.506,10930.575,24369.646,23787.711,15161.911,24221.251,24428.587000000003,24705.623,443.495,446.645,504.801
NGC_6800,291.6769,25.0342,1060,40,8.496,0.146,1.147,0.127,0.5,1.0,0.5,M2,P1,R2,2.10291,19.8596,0.0683,1.31369,1.7048,50.526,0.0525,3.3783,-0.6425,-14.1395,-0.034,-0.3008,100000,129.898,127.375,132.759,143.042,143.778,123.592,116.656,116.656,6.09,5.6320000000000014,6.392
NGC_6802,292.6554,20.2607,2294,95,8.81,0.039,2.857,0.045,0.5,0.5,0.5,M1,P1,R2,0.97365,16.89167,0.16544,47.23319,0.0521,20.4483,0.2342,3.2251,-0.0496,-5.8999,-0.1096,-2.698,100000,2153.422,2934.553,2940.833,2403.093,3093.011,2877.915,2877.915,2877.915,42.35,46.923,55.335
NGC_6819,295.3291,40.1903,2444,54,9.42,0.029,0.487,0.051,0.5,0.5,0.5,M1,P1,R1,1.6963400000000002,26.20413,0.11316,59.23417,0.0272,4.2391,0.0952,1.2728,-0.0259,-3.5732,-0.0647,-1.0932,100000,7156.696999999999,7134.31,7617.666,7549.876,7577.27,7277.281,7277.281,7277.281,61.043,61.3,56.604
