,_Glon,_Glat,Cluster,RA_ICRS,DE_ICRS,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,dr3_rv,e_dr3_rv,N_stars_dr3_rv,ra_duarte,dec_duarte
1393,89.420629,-0.280308,UBC_380,317.717,47.7154,42,-0.997,0.102,-1.712,0.093,0.436,0.057,,,2109,54,8.315,0.548,0.43,0.175,1.339,0.211,,,,317.71724488527894,47.70777568846873
1394,89.506582,1.134658,UBC_381,316.2392,48.7354,29,-0.395,0.096,-2.174,0.066,0.437,0.045,,,2150,66,8.23,0.45,0.286,0.217,1.678,0.2,,,,316.257710466307,48.72436300786234
1395,93.986505,-2.490125,UBC_382,324.9869,49.3115,51,-3.458,0.097,-4.842,0.107,0.434,0.052,,,2161,67,8.045,0.347,0.173,0.143,1.134,0.174,,,,325.00700330677057,49.30937212137519
1396,98.031017,-1.29807,UBC_384,328.7114,52.8176,110,-3.877,0.14,-3.734,0.132,0.38,0.061,,,2240,102,7.842,0.251,0.157,0.103,1.578,0.104,-23.25086197023399,1.8274964536985332,3.0,328.71079739283726,52.818651864644494
1397,100.569302,8.687126,UBC_386,319.7639,61.9436,57,-3.424,0.174,-3.44,0.211,0.81,0.072,,,1160,29,6.854,0.029,0.036,0.082,1.461,0.032,-14.80098532309817,6.418939687880936,6.0,319.7847777646683,61.97340726156165
1398,100.654712,4.235242,UBC_387,326.0639,58.7582,33,-2.213,0.081,-4.789,0.096,0.61,0.028,,,1563,37,8.54,0.327,0.091,0.118,1.702,0.121,-35.64313191345989,0.4636622671336824,5.0,326.1032182825668,58.76409197970376
1399,105.645377,0.213698,UBC_389,338.3416,58.3733,43,-3.382,0.119,-3.415,0.115,0.41,0.071,,,2257,104,7.143,0.412,0.101,0.157,1.686,0.113,,,,338.3423028123468,58.38346848166502
1400,105.75451,0.03067,UBC_390,338.6963,58.2698,196,-3.355,0.187,-2.173,0.152,0.209,0.074,,,4165,249,6.912,0.081,-0.039,0.123,2.113,0.061,-70.37637327127258,2.4948233906600734,2.0,338.69615802212905,58.28733347852802
1401,106.211325,0.618841,UBC_391,338.8938,59.0074,110,-2.827,0.133,-1.984,0.143,0.369,0.065,-72.75,1.638,2386,98,7.063,0.464,0.156,0.237,2.752,0.09,-57.45897492641226,2.09927345593467,2.0,338.9427741139067,59.0293026553317
1402,108.39436,-2.798049,UBC_393,345.4897,56.9513,357,-2.891,0.176,-2.546,0.14,0.259,0.075,,,3283,469,6.833,0.161,-0.054,0.108,2.247,0.089,,,,345.54768700787537,56.954900515618746
